name	role	start_year	end_year	current_position
Ed Buckler	pi	1998	present
Jeff Thornsberry	grad	1998	2002
Sherry Flint-Garcia	postdoc	2002	2007	USDA-ARS, U. Missouri
# role must be one of: pi | postdoc | grad | staff | undergrad | visiting
# end_year is a 4-digit year or the word "present"
# current_position is optional (where they are now); leave blank if unknown
# columns are TAB-separated; delete these comment lines before sending
