Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Szalma, SJ; Buckler Iv, ES; Snook, ME; McMullen, MD; ",Association analysis of candidate genes for maysin and chlorogenic acid accumulation in maize silks,Theoretical and Applied Genetics,110,7,1324-1333,2005,Springer-Verlag Berlin/Heidelberg
"Peiffer, Jason A; Spor, Aymé; Koren, Omry; Jin, Zhao; Tringe, Susannah Green; Dangl, Jeffery L; Buckler, Edward S; Ley, Ruth E; ",Diversity and heritability of the maize rhizosphere microbiome under field conditions,Proceedings of the National Academy of Sciences,110,16,6548-6553,2013,National Academy of Sciences
"Mwaniki, Angela Muthoni; Cheng, Zhiqiang; Hoekenga, Owen; Buckler, Edward; Kochian, Leon; Glahn, Raymond; ",Genetic and biochemical analysis of iron bioavailability in maize,,,,,2006,Federation of American Societies for Experimental Biology
"Buckler IV, Edward S; Cherney, Jerome H; Casler, Michael D; ",Developing Association Mapping in Polyploid Perennial Biofuel Grasses (Final Technical Report),,,,,2012,"US Dept. of Agriculture (USDA), Ithaca, NY (United States). Agricultural …"
"Peiffer, Jason A; Flint-Garcia, Sherry A; De Leon, Natalia; McMullen, Michael D; Kaeppler, Shawn M; Buckler, Edward S; ",The genetic architecture of maize stalk strength,Plos one,8,6,e67066,2013,Public Library of Science
"Gore, Michael; Bradbury, Peter; Hogers, René; Kirst, Matias; Verstege, Esther; van Oeveren, Jan; Peleman, Johan; Buckler, Edward; van Eijk, Michiel JT; ",Optimized Target Preparation Method for Single-Feature Polymorphism Detection in Maize.,,,,,2006,
"Meihls, Lisa N; Handrick, Vinzenz; Glauser, Gaetan; Barbier, Hugues; Kaur, Harleen; Haribal, Meena M; Lipka, Alexander E; Gershenzon, Jonathan; Buckler, Edward S; Erb, Matthias; ","Natural variation in maize aphid resistance is associated with 2, 4-dihydroxy-7-methoxy-1, 4-benzoxazin-3-one glucoside methyltransferase activity",The Plant Cell,25,6,2341-2355,2013,American Society of Plant Biologists
"McCouch, Susan; Baute, Gregory J; Bradeen, James; Bramel, Paula; Bretting, Peter K; Buckler, Edward; Burke, John M; Charest, David; Cloutier, Sylvie; Cole, Glenn; ",Feeding the future,Nature,499,7456,23-24,2013,Nature Publishing Group UK London
"Chen, Charles; Mitchell, Sharon E; Elshire, Robert J; Buckler, Edward S; El-Kassaby, Yousry A; ",Mining conifers’ mega-genome using rapid and efficient multiplexed high-throughput genotyping-by-sequencing (GBS) SNP discovery platform,Tree Genetics & Genomes,9,6,1537-1544,2013,Springer Berlin Heidelberg Berlin/Heidelberg
"Morris, Geoffrey P; Rhodes, Davina H; Brenton, Zachary; Ramu, Punna; Thayil, Vinayan Madhumal; Deshpande, Santosh; Hash, C Thomas; Acharya, Charlotte; Mitchell, Sharon E; Buckler, Edward S; ",Dissecting genome-wide association signals for loss-of-function phenotypes in sorghum flavonoid pigmentation traits,"G3: Genes, genomes, genetics",3,11,2085-2094,2013,Oxford University Press
"Miller, Allison J; Matasci, Naim; Schwaninger, Heidi; Aradhya, Mallikarjuna K; Prins, Bernard; Zhong, Gan-Yuan; Simon, Charles; Buckler, Edward S; Myles, Sean; ",Vitis phylogenomics: hybridization intensities from a SNP array outperform genotype calls,PloS one,8,11,e78680,2013,Public Library of Science
"Sawler, Jason; Reisch, Bruce; Aradhya, Mallikarjuna K; Prins, Bernard; Zhong, Gan-Yuan; Schwaninger, Heidi; Simon, Charles; Buckler, Edward; Myles, Sean; ",Genomics assisted ancestry deconvolution in grape,PloS one,8,11,e80791,2013,"Public Library of Science San Francisco, USA"
"Chitwood, Daniel H; Ranjan, Aashish; Martinez, Ciera C; Headland, Lauren R; Thiem, Thinh; Kumar, Ravi; Covington, Michael F; Hatcher, Tommy; Naylor, Daniel T; Zimmerman, Sharon; ",A modern ampelography: a genetic basis for leaf shape and venation patterning in grape,Plant physiology,164,1,259-272,2014,American Society of Plant Biologists
"Buckler, Edward S; Stevens, Natalie M; ","Maize origins, domestication, and selection","Darwin’s Harvest: New Approaches to the Origin, Evolution, and Conservation of Crops, edited by TJ Motley, N. Zerega, and H. Cross",,,67-91,2006,
"Glaubitz, Jeffrey C; Casstevens, Terry M; Lu, Fei; Harriman, James; Elshire, Robert J; Sun, Qi; Buckler, Edward S; ",TASSEL-GBS: a high capacity genotyping by sequencing analysis pipeline,PloS one,9,2,e90346,2014,Public Library of Science
"Lawton-Rauh, Amy L; Buckler 4th, ES; Purugganan, Michael D; ",Patterns of molecular evolution among paralogous floral homeotic genes.,Molecular Biology and Evolution,16,8,1037-1045,1999,Oxford University Press
"Romay, Maria C; Millard, Mark J; Glaubitz, Jeffrey C; Peiffer, Jason A; Swarts, Kelly L; Casstevens, Terry M; Elshire, Robert J; Acharya, Charlotte B; Mitchell, Sharon E; Flint-Garcia, Sherry A; ",Comprehensive genotyping of the USA national maize inbred seed bank,Genome biology,14,6,R55,2013,BioMed Central London
"Peiffer, Jason A; Romay, Maria C; Gore, Michael A; Flint-Garcia, Sherry A; Zhang, Zhiwu; Millard, Mark J; Gardner, Candice AC; McMullen, Michael D; Holland, James B; Bradbury, Peter J; ",The genetic architecture of maize height,Genetics,196,4,1337-1356,2014,Oxford University Press
"Candice N. Hirsch, Sherry A. Flint-Garcia, Timothy M. Beissinger, Steven R. Eichten, Shweta Deshpande, Kerrie Barry, Michael D. McMullen, James B. Holland, Edward S. Buckler, Nathan M. Springer, C. Robin Buell, Natalia de Leon, and Shawn M. Kaeppler; ",Insights into the Effects of Long-Term Artificial Selection on Seed Size in Maize,Genetics,,,,2014,
"Liu, Kejun; Goodman, Major; Muse, Spencer; Smith, J Stephen; Buckler, ED; Doebley, John; ",Genetic structure and diversity among maize inbred lines as inferred from DNA microsatellites,Genetics,165,4,2117-2128,2003,Oxford University Press
"Jaenicke-Despres, Viviane; Buckler, Ed S; Smith, Bruce D; Gilbert, M Thomas P; Cooper, Alan; Doebley, John; Paabo, Svante; ",Early allelic selection in maize as revealed by ancient DNA,Science,302,5648,1206-1208,2003,American Association for the Advancement of Science
"Youens-Clark, Ken; Buckler, Ed; Casstevens, Terry; Chen, Charles; DeClerck, Genevieve; Derwent, Paul; Dharmawardhana, Palitha; Jaiswal, Pankaj; Kersey, Paul; Karthikeyan, AS; ",Gramene database in 2010: updates and extensions,Nucleic acids research,39,suppl_1,D1085-D1094,2010,Oxford University Press
"Crossa, José; Beyene, Yoseph; Kassa, Semagn; Pérez, Paulino; Hickey, John M; Chen, Charles; De Los Campos, Gustavo; Burgueño, Juan; Windhausen, Vanessa S; Buckler, Ed; ",Genomic prediction in maize breeding populations with genotyping-by-sequencing,"G3: Genes, genomes, genetics",3,11,1903-1926,2013,Oxford University Press
"Buckler, Ed; Doebley, John; Gaut, Brandon; Goodman, Major; Kresovich, S; Muse, Spencer; Weir, Bruce; ",Evolutionary genomics of maize.,,,,,2002,
"Jaenicke-Despres, V; Buckler, ES; Smith, BD; Gilbert, MTP; Cooper, A; Doebley, J; Paabo, S; ",Agriculture: Early Allelic Selection in Maize as Revealed by Ancient DNA,SCIENCE-NEW YORK THEN WASHINGTON-,,,1206-1207,2003,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE
"Yu, Jianming; Tabanao, Dindo; Zhang, Zhiwu; Pressoir, Gael; Kresovich, Stephen; Buckler, Ed; ",Association mapping with diverse germplasm.,,,,,2006,
"Owens, Brenda F; Lipka, Alexander E; Magallanes-Lundback, Maria; Tiede, Tyler; Diepenbrock, Christine H; Kandianis, Catherine B; Kim, Eunha; Cepela, Jason; Mateos-Hernandez, Maria; Buell, C Robin; ",A foundation for provitamin A biofortification of maize: genome-wide association and genomic prediction models of carotenoid levels,Genetics,198,4,1699-1716,2014,Oxford University Press
"Swarts, Kelly; Li, Huihui; Romero Navarro, J Alberto; An, Dong; Romay, Maria Cinta; Hearne, Sarah; Acharya, Charlotte; Glaubitz, Jeffrey C; Mitchell, Sharon; Elshire, Robert J; ","Novel methods to optimize genotypic imputation for low‐coverage, next‐generation sequence data in crop plants",The Plant Genome,7,3,plantgenome2014.05.0023,2014,Crop Science Society of America
"Wallace, Jason G; Bradbury, Peter J; Zhang, Nengyi; Gibon, Yves; Stitt, Mark; Buckler, Edward S; ",Association mapping across numerous traits reveals patterns of functional variation in maize,PLoS genetics,10,12,e1004845,2014,"Public Library of Science San Francisco, USA"
"Lipka, Alexander E; Lu, Fei; Cherney, Jerome H; Buckler, Edward S; Casler, Michael D; Costich, Denise E; ",Accelerating the switchgrass (Panicum virgatum L.) breeding cycle using genomic selection approaches,PloS one,9,11,e112227,2014,Public Library of Science
"Yan, Jian; Lipka, Alexander E; Schmelz, Eric A; Buckler, Edward S; Jander, Georg; ",Accumulation of 5-hydroxynorvaline in maize (Zea mays) leaves is induced by insect feeding and abiotic stress,Journal of Experimental Botany,66,2,593-602,2015,Oxford University Press
"Li, Meng; Liu, Xiaolei; Bradbury, Peter; Yu, Jianming; Zhang, Yuan-Ming; Todhunter, Rory J; Buckler, Edward S; Zhang, Zhiwu; ",Enrichment of statistical power for genome-wide association studies,BMC biology,12,1,73,2014,BioMed Central London
"Wang, Qishan; Tian, Feng; Pan, Yuchun; Buckler, Edward S; Zhang, Zhiwu; ",A SUPER powerful method for genome wide association study,PloS one,9,9,e107684,2014,Public Library of Science
"Zhang, Xuecai; Pérez-Rodríguez, P; Semagn, K; Beyene, Y; Babu, R; López-Cruz, MA; San Vicente, F; Olsen, M; Buckler, E; Jannink, JL; ",Genomic prediction in biparental tropical maize populations in water-stressed and well-watered environments using low-density and GBS SNPs,Heredity,114,3,291-299,2015,Nature Publishing Group
"Rodgers-Melnick, Eli; Bradbury, Peter J; Elshire, Robert J; Glaubitz, Jeffrey C; Acharya, Charlotte B; Mitchell, Sharon E; Li, Chunhui; Li, Yongxiang; Buckler, Edward S; ","Recombination in diverse maize is stable, predictable, and associated with genetic load",Proceedings of the National Academy of Sciences,112,12,3823-3828,2015,National Academy of Sciences
"Li, Chunhui; Li, Yongxiang; Shi, Yunsu; Song, Yanchun; Zhang, Dengfeng; Buckler, Edward S; Zhang, Zhiwu; Wang, Tianyu; Li, Yu; ",Genetic control of the leaf angle and leaf orientation value as revealed by ultra-high density maps in three connected maize populations,Plos one,10,3,e0121624,2015,Public Library of Science
"Zila, Charles T; Ogut, Funda; Romay, Maria C; Gardner, Candice A; Buckler, Edward S; Holland, James B; ",Genome-wide association study of Fusarium ear rot disease in the USA maize inbred line collection,BMC plant biology,14,1,372,2014,BioMed Central London
"Takuno, Shohei; Ralph, Peter; Swarts, Kelly; Elshire, Rob J; Glaubitz, Jeffrey C; Buckler, Edward S; Hufford, Matthew B; Ross-Ibarra, Jeffrey; ",Independent molecular basis of convergent highland adaptation in maize,Genetics,200,4,1297-1312,2015,Oxford University Press
"Myles, Sean; Mahanil, Siraprapa; Harriman, James; Gardner, Kyle M; Franklin, Jeffrey L; Reisch, Bruce I; Ramming, David W; Owens, Christopher L; Li, Lin; Buckler, Edward S; ",Genetic mapping in grapevine using SNP microarray intensity values,Molecular breeding,35,3,88,2015,Springer Netherlands Dordrecht
"Wallace, Jason G; Upadhyaya, Hari D; Vetriventhan, M; Buckler, Edward S; Tom Hash, C; Ramu, Punna; ",The genetic makeup of a global barnyard millet germplasm collection,The Plant Genome,8,1,plantgenome2014.10.0067,2015,Crop Science Society of America
"Lu, Fei; Romay, Maria C; Glaubitz, Jeffrey C; Bradbury, Peter J; Elshire, Robert J; Wang, Tianyu; Li, Yu; Li, Yongxiang; Semagn, Kassa; Zhang, Xuecai; ",High-resolution genetic mapping of maize pan-genome sequence anchors,Nature communications,6,1,6914,2015,Nature Publishing Group UK London
"Ramstein, Guillaume P; Lipka, Alexander E; Lu, Fei; Costich, Denise E; Cherney, Jerome H; Buckler, Edward S; Casler, Michael D; ",Genome-wide association study based on multiple imputation with low-depth sequencing data: application to biofuel traits in reed canarygrass,"G3: Genes, Genomes, Genetics",5,5,891-909,2015,Oxford University Press
"Lasky, Jesse R; Upadhyaya, Hari D; Ramu, Punna; Deshpande, Santosh; Hash, C Tom; Bonnette, Jason; Juenger, Thomas E; Hyma, Katie; Acharya, Charlotte; Mitchell, Sharon E; ",Genome-environment associations in sorghum landraces predict adaptive traits,Science advances,1,6,e1400218,2015,American Association for the Advancement of Science
"Zhang, Nengyi; Gibon, Yves; Wallace, Jason G; Lepak, Nicholas; Li, Pinghua; Dedow, Lauren; Chen, Charles; So, Yoon-Sup; Kremling, Karl; Bradbury, Peter J; ",Genome-wide association of carbon and nitrogen metabolism in the maize nested association mapping population,Plant Physiology,168,2,575-583,2015,American Society of Plant Biologists
"Li, Chunhui; Li, Yongxiang; Bradbury, Peter J; Wu, Xun; Shi, Yunsu; Song, Yanchun; Zhang, Dengfeng; Rodgers-Melnick, Eli; Buckler, Edward S; Zhang, Zhiwu; ",Construction of high-quality recombination maps with low-coverage genomic sequencing for joint linkage analysis in maize,BMC biology,13,1,78,2015,BioMed Central London
"Liu, Zhengbin; Cook, Jason; Melia‐Hancock, Susan; Guill, Katherine; Bottoms, Christopher; Garcia, Arturo; Ott, Oliver; Nelson, Rebecca; Recker, Jill; Balint‐Kurti, Peter; ",Expanding maize genetic resources with predomestication alleles: maize–teosinte introgression populations,The plant genome,9,1,plantgenome2015.07.0053,2016,Crop Science Society of America
"Upadhyaya, Hari D; Vetriventhan, Mani; Deshpande, Santosh P; Sivasubramani, Selvanayagam; Wallace, Jason G; Buckler, Edward S; Hash, C Tom; Ramu, Punna; ",Population genetics and structure of a global foxtail millet germplasm collection,The Plant Genome,8,3,plantgenome2015.07.0054,2015,Crop Science Society of America
"Bukowski, Robert; Guo, Xiaosen; Lu, Yanli; Zou, Cheng; He, Bing; Rong, Zhengqin; Wang, Bo; Xu, Dawen; Yang, Bicheng; Xie, Chuanxiao; ",Construction of the third-generation Zea mays haplotype map,Gigascience,7,4,gix134,2018,Oxford University Press
"Liu, Xiaolei; Huang, Meng; Fan, Bin; Buckler, Edward S; Zhang, Zhiwu; ",Iterative usage of fixed and random effect models for powerful and efficient genome-wide association studies,PLoS genetics,12,2,e1005767,2016,"Public Library of Science San Francisco, CA USA"
"Wu, Xun; Li, Yongxiang; Shi, Yunsu; Song, Yanchun; Zhang, Dengfeng; Li, Chunhui; Buckler, Edward S; Li, Yu; Zhang, Zhiwu; Wang, Tianyu; ",Joint‐linkage mapping and GWAS reveal extensive genetic loci that regulate male inflorescence size in maize,Plant biotechnology journal,14,7,1551-1562,2016,
,"The Collaborative Cross, a community resource for the genetic analysis of complex traits",Nature genetics,36,11,1133-1137,2004,Nature Publishing Group US New York
"Li, Yong‐xiang; Li, Chunhui; Bradbury, Peter J; Liu, Xiaolei; Lu, Fei; Romay, Cinta M; Glaubitz, Jeffrey C; Wu, Xun; Peng, Bo; Shi, Yunsu; ",Identification of genetic variants associated with maize flowering time using an extremely large multi‐genetic background population,The Plant Journal,86,5,391-402,2016,
"Bergelson, Joy; Buckler, Edward S; Ecker, Joseph R; Nordborg, Magnus; Weigel, Detlef; ",A proposal regarding best practices for validating the identity of genetic stocks and the effects of genetic variants,The Plant Cell,28,3,606-609,2016,American Society of Plant Biologists
"Lipka, Alexander; Gore, Michael; Magallanes-Lundback, Maria; Mesberg, Alex; Lin, Haining; Tiede, Tyler; Chen, Charles; Buell, Robin; Buckler, Edward; Rocheford, Torbert; ",Genome-wide association study and pathway level analysis of tocochromanol levels in maize grain,"Genes, Genomes, Genetics",10,,g3,2013,
"Rodgers-Melnick, Eli; Vera, Daniel L; Bass, Hank W; Buckler, Edward S; ",Open chromatin reveals the functional maize genome,Proceedings of the National Academy of Sciences,113,22,E3177-E3184,2016,National Academy of Sciences
"Handrick, Vinzenz; Robert, Christelle AM; Ahern, Kevin R; Zhou, Shaoqun; Machado, Ricardo AR; Maag, Daniel; Glauser, Gaetan; Fernandez-Penny, Felix E; Chandran, Jima N; Rodgers-Melnik, Eli; ",Biosynthesis of 8-O-methylated benzoxazinoid defense compounds in maize,The Plant Cell,28,7,1682-1700,2016,American Society of Plant Biologists
"Tang, You; Liu, Xiaolei; Wang, Jiabo; Li, Meng; Wang, Qishan; Tian, Feng; Su, Zhongbin; Pan, Yuchun; Liu, Di; Lipka, Alexander E; ",GAPIT version 2: an enhanced integrated tool for genomic association and prediction,The plant genome,9,2,plantgenome2015.11.0120,2016,Crop Science Society of America
"Punnuri, Somashekhar M; Wallace, Jason G; Knoll, Joseph E; Hyma, Katie E; Mitchell, Sharon E; Buckler, Edward S; Varshney, Rajeev K; Singh, Bharat P; ",Development of a High-Density Linkage Map and Tagging Leaf Spot Resistance in Pearl Millet Using Genotyping-by-Sequencing Markers,The Plant Genome,9,2,1-13,2016,Crop Science Society of America
"Toubiana, David; Xue, Wentao; Zhang, Nengyi; Kremling, Karl; Gur, Amit; Pilosof, Shai; Gibon, Yves; Stitt, Mark; Buckler, Edward S; Fernie, Alisdair R; ",Correlation-based network analysis of metabolite and enzyme profiles reveals a role of citrate biosynthesis in modulating N and C metabolism in Zea mays,Frontiers in Plant Science,7,,1022,2016,Frontiers Media SA
"McCaw, Morgan E; Wallace, Jason G; Albert, Patrice S; Buckler, Edward S; Birchler, James A; ",Fast-flowering mini-maize: seed to seed in 60 days,Genetics,204,1,35-42,2016,Oxford University Press
"Li, Chunhui; Li, Yongxiang; Shi, Yunsu; Song, Yanchun; Zhang, Dengfeng; Buckler, Edward S; Zhang, Zhiwu; Li, Yu; Wang, Tianyu; ","Analysis of recombination QTLs, segregation distortion, and epistasis for fitness in maize multiple populations using ultra-high-density markers",Theoretical and applied genetics,129,9,1775-1784,2016,Springer Berlin Heidelberg Berlin/Heidelberg
"Wallace, Jason G; Zhang, Xuecai; Beyene, Yoseph; Semagn, Kassa; Olsen, Michael; Prasanna, Boddupalli M; Buckler, Edward S; ",Genome‐wide association for plant height and flowering time across 15 tropical maize populations under managed drought stress and well‐watered conditions in Sub‐Saharan Africa,Crop Science,56,5,2365-2378,2016,"The Crop Science Society of America, Inc."
"Zhang, Dong; Pitra, Nicholi J; Coles, Mark C; Buckler, Edward S; Matthews, Paul D; ",Non-Mendelian inheritance of SNP markers reveals extensive chromosomal translocations in dioecious hops (Humulus lupulus L.),bioRxiv,,,069849,2016,Cold Spring Harbor Laboratory
"Esuma, Williams; Herselman, Liezel; Labuschagne, Maryke Tine; Ramu, Punna; Lu, Fei; Baguma, Yona; Buckler, Edward S; Kawuki, Robert Sezi; ",Genome-wide association mapping of provitamin A carotenoid content in cassava,Euphytica,212,1,97-110,2016,Springer Netherlands Dordrecht
"Richter, Annett; Schaff, Claudia; Zhang, Zhiwu; Lipka, Alexander E; Tian, Feng; Köllner, Tobias G; Schnee, Christiane; Preiß, Susanne; Irmisch, Sandra; Jander, Georg; ",Characterization of biosynthetic pathways for the production of the volatile homoterpenes DMNT and TMTT in Zea mays,The Plant Cell,28,10,2651-2665,2016,American Society of Plant Biologists
"Ramu, Punna; Esuma, Williams; Kawuki, Robert; Rabbi, Ismail Y; Egesi, Chiedozie; Bredeson, Jessen V; Bart, Rebecca S; Verma, Janu; Buckler, Edward S; Lu, Fei; ",Cassava HapMap: Masking deleterious mutations in a clonal crop species,bioRxiv,,,,2016,
"Hirsch, Candice N; Hirsch, Cory D; Brohammer, Alex B; Bowman, Megan J; Soifer, Ilya; Barad, Omer; Shem-Tov, Doron; Baruch, Kobi; Lu, Fei; Hernandez, Alvaro G; ",Draft assembly of elite inbred line PH207 provides insights into genomic and transcriptome diversity in maize,The Plant Cell,28,11,2700-2714,2016,American Society of Plant Biologists
"Swarts, Kelly; Bauer, Eva; Glaubitz, Jeffrey C; Ho, Tiffany; Johnson, Lynn; Li, Yongxiang; Li, Yu; Miller, Zachary; Romay, Cinta; Schöen, Chris-Carolin; ",A large scale joint analysis of flowering time reveals independent temperate adaptations in maize,BioRxiv,,,086082,2016,Cold Spring Harbor Laboratory
"Buckler, Edward S; Ilut, Daniel C; Wang, Xiaoyun; Kretzschmar, Tobias; Gore, Michael; Mitchell, Sharon E; ",rAmpSeq: Using repetitive sequences for robust genotyping,BioRxiv,,,096628,2016,Cold Spring Harbor Laboratory
"Romero-Navarro, J Alberto; Wilcox, Martha; Burgueño, Juan; Romay, Cinta; Swarts, Kelly; Trachsel, Samuel; Preciado, Ernesto; Terron, Arturo; Vallejo Delgado, Humberto; Vidal, Victor; ",Identifying the diamond in the rough: a study of allelic diversity underlying flowering time adaptation in maize landraces,bioRxiv,,,092528,2016,Cold Spring Harbor Laboratory
"Romero Navarro, J Alberto; Willcox, Martha; Burgueño, Juan; Romay, Cinta; Swarts, Kelly; Trachsel, Samuel; Preciado, Ernesto; Terron, Arturo; Delgado, Humberto Vallejo; Vidal, Victor; ",A study of allelic diversity underlying flowering-time adaptation in maize landraces,Nature genetics,49,3,476-480,2017,Nature Publishing Group US New York
"Yang, Jinliang; Mezmouk, Sofiane; Baumgarten, Andy; Buckler, Edward S; Guill, Katherine E; McMullen, Michael D; Mumm, Rita H; Ross-Ibarra, Jeffrey; ",Incomplete dominance of deleterious alleles contributes substantially to trait variation and heterosis in maize,PLoS genetics,13,9,e1007019,2017,Public Library of Science
"Ramu, Punna; Esuma, Williams; Kawuki, Robert; Rabbi, Ismail Y; Egesi, Chiedozie; Bredeson, Jessen V; Bart, Rebecca S; Verma, Janu; Buckler, Edward S; Lu, Fei; ",Cassava haplotype map highlights fixation of deleterious mutations during clonal propagation,Nature Genetics,49,,959–963,2017,
"Zhang, Xuecai; Pérez-Rodríguez, Paulino; Burgueño, Juan; Olsen, Michael; Buckler, Edward; Atlin, Gary; Prasanna, Boddupalli M; Vargas, Mateo; San Vicente, Félix; Crossa, José; ",Rapid cycling genomic selection in a multiparental tropical maize population,"G3: Genes, Genomes, Genetics",7,7,2315-2326,2017,Oxford University Press
"Flint-Garcia, Sherry A; Thornsberry, Jeffry M; Buckler IV, Edward S; ",Structure of linkage disequilibrium in plants,Annual review of plant biology,54,1,357-374,2003,"Annual Reviews 4139 El Camino Way, PO Box 10139, Palo Alto, CA 94303-0139, USA"
"Swarts, Kelly; Gutaker, Rafal M; Benz, Bruce; Blake, Michael; Bukowski, Robert; Holland, James; Kruse-Peeples, Melissa; Lepak, Nicholas; Prim, Lynda; Romay, M Cinta; ",Genomic estimation of complex traits reveals ancient maize adaptation to temperate North America,Science,357,6350,512-515,2017,American Association for the Advancement of Science
"Li, Chunhui; Sun, Baocheng; Li, Yongxiang; Liu, Cheng; Wu, Xun; Zhang, Dengfeng; Shi, Yunsu; Song, Yanchun; Buckler, Edward S; Zhang, Zhiwu; ",Numerous genetic loci identified for drought tolerance in the maize nested association mapping populations,BMC genomics,17,1,894,2016,BioMed Central London
"Strable, Josh; Wallace, Jason G; Unger-Wallace, Erica; Briggs, Sarah; Bradbury, Peter J; Buckler, Edward S; Vollbrecht, Erik; ",Maize YABBY genes drooping leaf1 and drooping leaf2 regulate plant architecture,The Plant Cell,29,7,1622-1641,2017,American Society of Plant Biologists
"Migicovsky, Zoë; Sawler, Jason; Gardner, Kyle M; Aradhya, Mallikarjuna K; Prins, Bernard H; Schwaninger, Heidi R; Bustamante, Carlos D; Buckler, Edward S; Zhong, Gan-Yuan; Brown, Patrick J; ",Patterns of genomic and phenomic diversity in wine and table grapes,Horticulture research,4,,,2017,Oxford Academic
"Larsson, Sara J; Peiffer, Jason A; Edwards, Jode W; Ersoz, Elhan S; Flint-Garcia, Sherry; Holland, James B; McMullen, Michael D; Tuinstra, Mitchell R; Romay, M Cinta; Buckler, Edward S; ",Genetic analysis of lodging in diverse maize hybrids,BioRxiv,,,185769,2017,Cold Spring Harbor Laboratory
"Wallace, Jason G; Rodgers-Melnick, Eli; Buckler, Edward S; ","On the road to breeding 4.0: unraveling the good, the bad, and the boring of crop quantitative genomics",Annual review of genetics,52,1,421-444,2018,Annual Reviews
"Glover, JD; Reganold, JP; Bell, LW; Borevitz, J; Brummer, E Charles; Buckler, ES; Cox, CM; Cox, TS; Crews, TE; Culman, SW; ",Perennial Questions of Hydrology and Climate—Response,Science,330,6000,33-34,2010,American Association for the Advancement of Science
"Cook, JP; McMullen, Michael D; Holland, James B; Tian, Feng; Bradbury, Peter; Ross-Ibarra, Jeffrey; Buckler, Edward S; Flint-Garcia, Sherry A; Wichman, DM; Martin, JM; ",Jason P. Cook,Montana,406,,451-1501,,
"Buckler, Ed; ",Large scale genotyping and association studies,"Proc. ASA-CSSA-SSSA Int. Annu. Meet., Indianapolis, IN",,,12-16,2006,
"Swarts, Kelly; Li, Huihui; Navarro, J Alberto Romero; An, Dong; Romay, Maria Cinta; Hearne, Sarah; Acharya, Charlotte; Glaubitz, Jeffrey C; Mitchell, Sharon; Elshire, Robert J; ","FSFHap (Full-Sib Family Haplotype Imputation) and FILLIN (Fast, Inbred Line",Hum. Genet,81,3,559-575,2008,
"Buckler, ED; ",Uniting the world’s maize diversity for dissection of complex trait and accelerating breeding,Maize Diversity Project,,,3,2009,
"Lipka, Alexander E; Magallanes-Lundback, Maria; Mesberg, Alex; Bradbury, Peter; Angelovici, Ruthie; Jorge, S Gonzalez; Tiede, Tyler; Cepela, Jason; Buell, C Robin; Rocheford, Torbert; ",High-resolution mapping of tocochromanol and carotenoid grain traits via NAMGWAS reveals distinct genetic architectures in maize,"55th Annual Maize Genetics Conference., St. Charles, IL",,,14-17,2013,
"BUCKLER, ES; ",Edward Buckler Lab: Maize Diversity Research,http://www. maizegenetics. net/bioinformatics,,,,2007,
"Romero, A; Hickey, J; Kilian, A; Buckler, E; Marshall, DS; Crossa, J; Petroli, C; Sansaloni, C; Molnar, TL; Pixley, KV; ",From genebank to field-leveraging genomics to identify and bring novel native variation to breeding pools,,,,,2016,CIMMYT
"Glaubitz, J; Lu, F; Buckler, E; ",The use of GBS to improve genome assembly,PHYTOPATHOLOGY,104,11,153-153,2014,"AMER PHYTOPATHOLOGICAL SOC 3340 PILOT KNOB ROAD, ST PAUL, MN 55121 USA"
"Varshney, Rajeev K; Shi, Chengcheng; Thudi, Mahendar; Mariac, Cedric; Wallace, Jason; Qi, Peng; Zhang, He; Zhao, Yusheng; Wang, Xiyin; Rathore, Abhishek; ",Pearl millet genome sequence provides a resource to improve agronomic traits in arid environments,Nature biotechnology,35,10,969-976,2017,Nature Publishing Group US New York
"Diepenbrock, Christine H; Kandianis, Catherine B; Lipka, Alexander E; Magallanes-Lundback, Maria; Vaillancourt, Brieanne; Góngora-Castillo, Elsa; Wallace, Jason G; Cepela, Jason; Mesberg, Alex; Bradbury, Peter J; ",Novel loci underlie natural variation in vitamin E levels in maize grain,The Plant Cell,29,10,2374-2392,2017,American Society of Plant Biologists
"He, Yan; Wang, Minghui; Dukowic-Schulze, Stefanie; Zhou, Adele; Tiang, Choon-Lin; Shilo, Shay; Sidhu, Gaganpreet K; Eichten, Steven; Bradbury, Peter; Springer, Nathan M; ",Genomic features shaping the landscape of meiotic double-strand-break hotspots in maize,Proceedings of the National Academy of Sciences,114,46,12231-12236,2017,National Academy of Sciences
"Zhang, Dong; Easterling, Katherine A; Pitra, Nicholi J; Coles, Mark C; Buckler, Edward S; Bass, Hank W; Matthews, Paul D; ",Non-Mendelian SNP inheritance and atypical meiotic configurations are prevalent in hop (Humulus lupulus L.),,,,,,
"Gage, Joseph L; Jarquin, Diego; Romay, Cinta; Lorenz, Aaron; Buckler, Edward S; Kaeppler, Shawn; Alkhalifah, Naser; Bohn, Martin; Campbell, Darwin A; Edwards, Jode; ",The effect of artificial selection on phenotypic plasticity in maize,Nature communications,8,1,1348,2017,Nature Publishing Group UK London
"Mejía-Guerra, María Katherine; Buckler, Edward S; ",k-mer grammar uncovers maize regulatory architecture,bioRxiv,,,222927,2017,Cold Spring Harbor Laboratory
