Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Huang, Xuehui; Wei, Xinghua; Sang, Tao; Zhao, Qiang; Feng, Qi; Zhao, Yan; Li, Canyang; Zhu, Chuanrang; Lu, Tingting; Zhang, Zhiwu; ",Genome-wide association studies of 14 agronomic traits in rice landraces,Nature genetics,42,11,961-967,2010,Nature Publishing Group US New York
"Hamblin, Martha T; Warburton, Marilyn L; Buckler, Edward S; ",Empirical comparison of simple sequence repeats and single nucleotide polymorphisms in assessment of maize diversity and relatedness,PloS one,2,12,e1367,2007,Public Library of Science
"Whitt, Sherry R; Buckler IV, Edward S; ",Using natural allelic diversity to evaluate gene function,Plant functional genomics,,,123-139,2003,"Humana Press Totowa, NJ"
"Zhao, Wei; Canaran, Payan; Jurkuta, Rebecca; Fulton, Theresa; Glaubitz, Jeffrey; Buckler, Edward; Doebley, John; Gaut, Brandon; Goodman, Major; Holland, Jim; ",Panzea: a database and resource for molecular and functional diversity in the maize genome,Nucleic acids research,34,suppl_1,D752-D757,2006,Oxford University Press
"Lin, Qing; Buckler IV, Edward S; Muse, Spencer V; Walker, John C; ",Molecular evolution of type 1 serine/threonine protein phosphatases,Molecular phylogenetics and evolution,12,1,57-66,1999,Academic Press
"Ersoz, Elhan S; Yu, Jianming; Buckler, Edward S; ",Applications of linkage disequilibrium and association mapping in crop plants,Genomics-Assisted Crop Improvement: Vol. 1: Genomics Approaches and Platforms,,,97-119,2007,Springer Netherlands Dordrecht
"Yan, Jianbing; Kandianis, Catherine Bermudez; Harjes, Carlos E; Bai, Ling; Kim, Eun-Ha; Yang, Xiaohong; Skinner, Debra J; Fu, Zhiyuan; Mitchell, Sharon; Li, Qing; ",Rare genetic variation at Zea mays crtRB1 increases β-carotene in maize grain,Nature genetics,42,4,322-327,2010,Nature Publishing Group US New York
"Zhang, Zhiwu; Ersoz, Elhan; Lai, Chao-Qiang; Todhunter, Rory J; Tiwari, Hemant K; Gore, Michael A; Bradbury, Peter J; Yu, Jianming; Arnett, Donna K; Ordovas, Jose M; ",Mixed linear model approach adapted for genome-wide association studies,Nature genetics,42,4,355-360,2010,Nature Publishing Group US New York
"Yan, Jianbing; Shah, Trushar; Warburton, Marilyn L; Buckler, Edward S; McMullen, Michael D; Crouch, Jonathan; ",Genetic characterization and linkage disequilibrium estimation of a global maize collection using SNP markers,PloS one,4,12,e8451,2009,Public Library of Science
"Bennetzen, Jeff; Buckler, Edward; Chandler, Vicki; Doebley, John; Dorweiler, Jane; Gaut, Brandon; Freeling, Michael; Hake, Sarah; Kellogg, Elizabeth; Poethig, R Scott; ",Genetic evidence and the origin of maize,Latin American Antiquity,12,1,84-86,2001,Cambridge University Press
"Tian, Feng; Stevens, Natalie M; Buckler IV, Edward S; ",Tracking footprints of maize domestication and evidence for a massive selective sweep on chromosome 10,Proceedings of the National Academy of Sciences,106,supplement_1,9979-9986,2009,National Academy of Sciences
"Glover, Jerry D; Reganold, JP; Bell, LW; Borevitz, Justin; Brummer, E Charles; Buckler, Edward S; Cox, CM; Cox, T Stan; Crews, TE; Culman, Steve William; ",Increased food and ecosystem security via perennial grains,Science,328,5986,1638-1639,2010,American Association for the Advancement of Science
"Tian, Feng; Bradbury, Peter J; Brown, Patrick J; Hung, Hsiaoyi; Sun, Qi; Flint-Garcia, Sherry; Rocheford, Torbert R; McMullen, Michael D; Holland, James B; Buckler, Edward S; ",Genome-wide association study of leaf architecture in the maize nested association mapping population,Nature genetics,43,2,159-162,2011,Nature Publishing Group US New York
"Stich, Benjamin; Yu, Jianming; Melchinger, Albrecht E; Piepho, Hans-Peter; Utz, H Friedrich; Maurer, Hans P; Buckler, Edward S; ",Power to detect higher-order epistatic interactions in a metabolic pathway using a new mapping strategy,Genetics,176,1,563-570,2007,Oxford University Press
"Kirst, Matias; Caldo, Rico; Casati, Paula; Tanimoto, Gene; Walbot, Virginia; Wise, Roger P; Buckler, Edward S; ",Genetic diversity contribution to errors in short oligonucleotide microarray analysis,Plant Biotechnology Journal,4,5,489-498,2006,"Blackwell Publishing Ltd Oxford, UK"
"Myles, Sean; Chia, Jer-Ming; Hurwitz, Bonnie; Simon, Charles; Zhong, Gan Yuan; Buckler, Edward; Ware, Doreen; ",Rapid genomic characterization of the genus Vitis,PloS one,5,1,e8219,2010,"Public Library of Science San Francisco, USA"
